count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
28,ICD-9,11504,Infection by Histoplasma capsulatum endocarditis,6,Histoplasma,Histoplasma capsulatum,cardiovascular,heart,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
29,ICD-9,11501,Infection by Histoplasma capsulatum meningitis,6,Histoplasma,Histoplasma capsulatum,nervous,brain,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
30,ICD-9,11509,Infection by Histoplasma capsulatum other,6,Histoplasma,Histoplasma capsulatum,nonspecific,other,Onygenales,Histoplasma,Histoplasma capsulatum,nonspecific,unspecified
31,ICD-9,11503,Infection by Histoplasma capsulatum pericarditis,6,Histoplasma,Histoplasma capsulatum,cardiovascular,heart,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
32,ICD-9,11505,Infection by Histoplasma capsulatum pneumonia,6,Histoplasma,Histoplasma capsulatum,respiratory,lungs,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
33,ICD-9,11502,Infection by Histoplasma capsulatum retinitis,6,Histoplasma,Histoplasma capsulatum,nervous,eye,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
34,ICD-9,11500,Infection by Histoplasma capsulatum without mention of manifestation,6,Histoplasma,Histoplasma capsulatum,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasma capsulatum,nonspecific,unspecified
35,ICD-9,11514,Infection by Histoplasma duboisii endocarditis,6,Histoplasma,Histoplasma duboisii,cardiovascular,heart,Onygenales,Histoplasma,Histoplasma duboisii,internal,nonspecific
36,ICD-9,11511,Infection by Histoplasma duboisii meningitis,6,Histoplasma,Histoplasma duboisii,nervous,brain,Onygenales,Histoplasma,Histoplasma duboisii,internal,nonspecific
37,ICD-9,11519,Infection by Histoplasma duboisii other,6,Histoplasma,Histoplasma duboisii,nonspecific,other,Onygenales,Histoplasma,Histoplasma duboisii,nonspecific,nonspecific
38,ICD-9,11513,Infection by Histoplasma duboisii pericarditis,6,Histoplasma,Histoplasma duboisii,cardiovascular,heart,Onygenales,Histoplasma,Histoplasma duboisii,internal,nonspecific
39,ICD-9,11515,Infection by Histoplasma duboisii pneumonia,6,Histoplasma,Histoplasma duboisii,respiratory,lungs,Onygenales,Histoplasma,Histoplasma duboisii,internal,nonspecific
