count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
273,ICD-11,1F2L,Emmonsiosis,11,Other Fungus-specific Mycoses,Emergomyces,nonspecific,nonspecific,Onygenales,Emergomyces Emmonsia Chrysosporium,Nonspecific,nonspecific,nonspecific
274,ICD-11,1F2LZ,Emmonsiosis unspecified,11,Other Fungus-specific Mycoses,Emergomyces,nonspecific,nonspecific,Onygenales,Emergomyces Emmonsia Chrysosporium,Nonspecific,nonspecific,nonspecific
275,ICD-11,1F2LY,Other specified emmonsiosis,11,Other Fungus-specific Mycoses,Emergomyces,nonspecific,nonspecific,Onygenales,Emergomyces Emmonsia Chrysosporium,Nonspecific,nonspecific,nonspecific
276,ICD-11,1F2L1,Pulmonary adiaspiromycosis,11,Other Fungus-specific Mycoses,Emergomyces,respiratory,lungs,Onygenales,Emergomyces Emmonsia Chrysosporium,Nonspecific,internal,nonspecific
277,ICD-11,1F2A0,Pulmonary histoplasmosis capsulati,6,Histoplasma,Histoplasma capsulatum,respiratory,lungs,Onygenales,Histoplasma,Histoplasma capsulatum,internal,nonspecific
278,ICD-11,1F2A1,Histoplasmosis due to Histoplasma duboisii,6,Histoplasma,Histoplasma duboisii,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasma duboisii,nonspecific,unspecified
279,ICD-11,1F2A,Histoplasmosis,6,Histoplasma,Histoplasma,nonspecific,nonspecific,Onygenales,Histoplasma,Histoplasmosis unspecified,nonspecific,unspecified
280,ICD-11,1F2AZ,Histoplasmosis unspecified,6,Histoplasma,Histoplasma,nonspecific,unspecified,Onygenales,Histoplasma,Histoplasmosis unspecified,nonspecific,unspecified
281,ICD-11,1F2AY,Other specified histoplasmosis,6,Histoplasma,Histoplasma,nonspecific,other,Onygenales,Histoplasma,Histoplasmosis unspecified,nonspecific,nonspecific
282,ICD-11,1F2B,Lobomycosis,11,Other Fungus-specific Mycoses,Lacazia,nonspecific,nonspecific,Onygenales,Lacazia,Nonspecific,nonspecific,nonspecific
283,ICD-11,1F2D1,Malassezia folliculitis,10,Dermatomycoses,Malassezia,integumentary,hair,Malasseziales,Malassezia,Nonspecific,external,nonspecific
284,ICD-11,KA630,Malassezia infection in newborn,10,Dermatomycoses,Malassezia,pediatric,nonspecific,Malasseziales,Malassezia,Nonspecific,nonspecific,nonspecific
285,ICD-11,1F2D0,Pityriasis versicolor,10,Dermatomycoses,Malassezia,integumentary,skin,Malasseziales,Malassezia,Nonspecific,external,nonspecific
286,ICD-11,1F21,Basidiobolomycosis,7,Mucorales,Mucorales,nonspecific,nonspecific,Entomophthorales,Basidiobolus,Nonspecific,nonspecific,nonspecific
287,ICD-11,1F26,Conidiobolomycosis,7,Mucorales,Mucorales,nonspecific,nonspecific,Entomophthorales,Conidiobolus,Nonspecific,nonspecific,nonspecific
288,ICD-11,1F2C,Mucormycosis,7,Mucorales,Mucorales,nonspecific,nonspecific,Mucorales,Apophysomyces Cunninghamella Lichtheimia Absidia Mucor Rhizomucor Rhizopus Saksenaea,Nonspecific,nonspecific,nonspecific
289,ICD-11,CA707,Air conditioner or humidifier lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
290,ICD-11,CA702,Bird fancier lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
291,ICD-11,1F2D3,Black piedra,10,Dermatomycoses,Nondermatophyte Pigmented,integumentary,hair,Capnodiales,Nonspecific,Nonspecific,external,nonspecific
292,ICD-11,EA60,Certain skin disorders attributable to fungal infection,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,external,noninvasive
293,ICD-11,DA000,Cheilitis,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,mouth,Nonspecific,Nonspecific,Nonspecific,external,nonspecific
294,ICD-11,1F24,Chromoblastomycosis,12,General Mycoses,Pigmented Fungi,nonspecific,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
295,ICD-11,1F28,Dermatophytosis,10,Dermatomycoses,Dermatophyte,integumentary,nonspecific,Onygenales,Nonspecific,Nonspecific,external,nonspecific
296,ICD-11,1F282,Dermatophytosis of foot,10,Dermatomycoses,Dermatophyte,integumentary,foot,Onygenales,Nonspecific,Nonspecific,external,nonspecific
297,ICD-11,1F281,Dermatophytosis of nail,10,Dermatomycoses,Dermatophyte,integumentary,nail,Onygenales,Nonspecific,Nonspecific,external,nonspecific
298,ICD-11,1F280,Dermatophytosis of scalp,10,Dermatomycoses,Dermatophyte,integumentary,head,Onygenales,Nonspecific,Nonspecific,external,nonspecific
299,ICD-11,1F28Z,Dermatophytosis unspecified,10,Dermatomycoses,Dermatophyte,integumentary,unspecified,Onygenales,Nonspecific,unspecified,external,unspecified
300,ICD-11,1F285,Disseminated dermatophytosis,10,Dermatomycoses,Dermatophyte,integumentary,disseminated,Onygenales,Nonspecific,Nonspecific,nonspecific,invasive
301,ICD-11,1F29,Eumycetoma,10,Dermatomycoses,Nondermatophyte,integumentary,skin,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
302,ICD-11,CA700,Farmer lung,12,General Mycoses,Occupation-related ,respiratory,lungs,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
303,ICD-11,MA151,Fungaemia,12,General Mycoses,Nonspecific,systemic,blood,Nonspecific,Nonspecific,Nonspecific,internal,invasive
304,ICD-11,DA6362,Fungal duodenal ulcer,12,General Mycoses,Nonspecific,digestive,small intestine,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
305,ICD-11,1D001,Fungal encephalitis,12,General Mycoses,Nonspecific Neuromycoses,nervous,brain,Nonspecific,Nonspecific,Nonspecific,internal,invasive
306,ICD-11,KA63,Fungal infection of fetus or newborn,12,General Mycoses,Nonspecific Pediatric Mycoses,pediatric,nonspecific,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
307,ICD-11,KA63Z,Fungal infection of fetus or newborn unspecified,12,General Mycoses,Nonspecific Pediatric Mycoses,pediatric,unspecified,Nonspecific,Nonspecific,Nonspecific,nonspecific,nonspecific
308,ICD-11,FA102,Fungal infection of joint,12,General Mycoses,Nonspecific Arthromycoses,musculoskeletal,joint,Nonspecific,Nonspecific,Nonspecific,internal,nonspecific
309,ICD-11,EA60Z,Fungal infection of the skin unspecified,10,Dermatomycoses,Nonspecific Dermatomycoses,integumentary,unspecified,Nonspecific,Nonspecific,Nonspecific,external,unspecified
310,ICD-11,1D0410,Fungal intracranial granuloma,12,General Mycoses,Nonspecific Neuromycoses,nervous,brain,Nonspecific,Nonspecific,Nonspecific,internal,invasive
311,ICD-11,1D011,Fungal meningitis,12,General Mycoses,Nonspecific Neuromycoses,nervous,brain,Nonspecific,Nonspecific,Nonspecific,internal,invasive
