code,description
78099,other general symptoms
7964,other abnormal clinical findings
7969,other nonspecific abnormal findings
7981,instantaneous death
7982,death occurring in less than 24 hours from onset of symptoms not otherwise explained
7989,unattended death
79989,other illdefined conditions
7999,other unknown and unspecified cause of morbidity and mortality
9089,late effect of unspecified injury
9093,late effect of complications of surgical and medical care
9095,late effect of adverse effect of drug medicinal or biological substance
9598,other specified sites including multiple injury
9599,unspecified site injury
9999,other and unspecified complications of medical care not elsewhere classified
E8490,home accidents
E8491,farm accidents
E8492,mine and quarry accidents
E8493,accidents occurring in industrial places and premises
E8494,accidents occurring in place for recreation and sport
E8495,street and highway accidents
E8496,accidents occurring in public building
E8497,accidents occurring in residential institution
E8498,accidents occurring in other specified places
E8499,accidents occurring in unspecified place
V010,contact with or exposure to cholera
V011,contact with or exposure to tuberculosis
V012,contact with or exposure to poliomyelitis
V013,contact with or exposure to smallpox
V014,contact with or exposure to rubella
V015,contact with or exposure to rabies
V016,contact with or exposure to venereal diseases
V0171,contact with or exposure to varicella
V0179,contact with or exposure to other viral diseases
V0181,contact with or exposure to anthrax
V0182,exposure to sarsassociated coronavirus
V0183,contact with or exposure to escherichia coli e coli
V0184,contact with or exposure to meningococcus
V0189,contact with or exposure to other communicable diseases
V019,contact with or exposure to unspecified communicable disease
V020,carrier or suspected carrier of cholera
V021,carrier or suspected carrier of typhoid
V022,carrier or suspected carrier of amebiasis
V023,carrier or suspected carrier of other gastrointestinal pathogens
V024,carrier or suspected carrier of diphtheria
V0251,carrier or suspected carrier of group b streptococcus
V0252,carrier or suspected carrier of other streptococcus
V0253,carrier or suspected carrier of methicillin susceptible staphylococcus aureus
V0254,carrier or suspected carrier of methicillin resistant staphylococcus aureus
V0259,carrier or suspected carrier of other specified bacterial diseases
V0260,viral hepatitis carrier unspecified
V0261,hepatitis b carrier
V0262,hepatitis c carrier
V0269,other viral hepatitis carrier
V027,carrier or suspected carrier of gonorrhea
V028,carrier or suspected carrier of other venereal diseases
V029,carrier or suspected carrier of other specified infectious organism
