code,description
S3165AS,open bite of abdominal wall unspecified flank with penetration into peritoneal cavity sequela
T07XXXA,unspecified multiple injuries initial encounter
T07XXXD,unspecified multiple injuries subsequent encounter
T07XXXS,unspecified multiple injuries sequela
T148XXA,other injury of unspecified body region initial encounter
T148XXD,other injury of unspecified body region subsequent encounter
T148XXS,other injury of unspecified body region sequela
T1490XA,injury unspecified initial encounter
T1490XD,injury unspecified subsequent encounter
T1490XS,injury unspecified sequela
T1491XA,suicide attempt initial encounter
T1491XD,suicide attempt subsequent encounter
T1491XS,suicide attempt sequela
T36AX1A,poisoning by fluoroquinolone antibiotics accidental unintentional initial encounter
T36AX1D,poisoning by fluoroquinolone antibiotics accidental unintentional subsequent encounter
T36AX1S,poisoning by fluoroquinolone antibiotics accidental unintentional sequela
T36AX2A,poisoning by fluoroquinolone antibiotics intentional selfharm initial encounter
T36AX2D,poisoning by fluoroquinolone antibiotics intentional selfharm subsequent encounter
T36AX2S,poisoning by fluoroquinolone antibiotics intentional selfharm sequela
T36AX3A,poisoning by fluoroquinolone antibiotics assault initial encounter
T36AX3D,poisoning by fluoroquinolone antibiotics assault subsequent encounter
T36AX3S,poisoning by fluoroquinolone antibiotics assault sequela
T36AX4A,poisoning by fluoroquinolone antibiotics undetermined initial encounter
T36AX4D,poisoning by fluoroquinolone antibiotics undetermined subsequent encounter
T36AX4S,poisoning by fluoroquinolone antibiotics undetermined sequela
T36AX5A,adverse effect of fluoroquinolone antibiotics initial encounter
T36AX5D,adverse effect of fluoroquinolone antibiotics subsequent encounter
T36AX5S,adverse effect of fluoroquinolone antibiotics sequela
T36AX6A,underdosing of fluoroquinolone antibiotics initial encounter
T36AX6D,underdosing of fluoroquinolone antibiotics subsequent encounter
T36AX6S,underdosing of fluoroquinolone antibiotics sequela
T43691A,poisoning by other psychostimulants accidental unintentional initial encounter
T43691D,poisoning by other psychostimulants accidental unintentional subsequent encounter
T43691S,poisoning by other psychostimulants accidental unintentional sequela
T43692A,poisoning by other psychostimulants intentional selfharm initial encounter
T43692D,poisoning by other psychostimulants intentional selfharm subsequent encounter
T43692S,poisoning by other psychostimulants intentional selfharm sequela
T43693A,poisoning by other psychostimulants assault initial encounter
T43693D,poisoning by other psychostimulants assault subsequent encounter
T43693S,poisoning by other psychostimulants assault sequela
T43694A,poisoning by other psychostimulants undetermined initial encounter
T43694D,poisoning by other psychostimulants undetermined subsequent encounter
T43694S,poisoning by other psychostimulants undetermined sequela
T43695A,adverse effect of other psychostimulants initial encounter
T43695D,adverse effect of other psychostimulants subsequent encounter
T43695S,adverse effect of other psychostimulants sequela
T43696A,underdosing of other psychostimulants initial encounter
T43696D,underdosing of other psychostimulants subsequent encounter
T43696S,underdosing of other psychostimulants sequela
T65841A,toxic effect of xylazine accidental unintentional initial encounter
T65841D,toxic effect of xylazine accidental unintentional subsequent encounter
T65841S,toxic effect of xylazine accidental unintentional sequela
T65842A,toxic effect of xylazine intentional selfharm initial encounter
T65842D,toxic effect of xylazine intentional selfharm subsequent encounter
T65842S,toxic effect of xylazine intentional selfharm sequela
T65843A,toxic effect of xylazine assault initial encounter
T65843D,toxic effect of xylazine assault subsequent encounter
T65843S,toxic effect of xylazine assault sequela
T65844A,toxic effect of xylazine undetermined initial encounter
T65844D,toxic effect of xylazine undetermined subsequent encounter
T65844S,toxic effect of xylazine undetermined sequela
T6701XA,heatstroke and sunstroke initial encounter
T6701XD,heatstroke and sunstroke subsequent encounter
T6701XS,heatstroke and sunstroke sequela
T6702XA,exertional heatstroke initial encounter
T6702XD,exertional heatstroke subsequent encounter
T6702XS,exertional heatstroke sequela
T6709XA,other heatstroke and sunstroke initial encounter
T6709XD,other heatstroke and sunstroke subsequent encounter
T6709XS,other heatstroke and sunstroke sequela
T74A1XA,adult financial abuse confirmed initial encounter
T74A1XD,adult financial abuse confirmed subsequent encounter
T74A1XS,adult financial abuse confirmed sequela
T74A2XA,child financial abuse confirmed initial encounter
T74A2XD,child financial abuse confirmed subsequent encounter
T74A2XS,child financial abuse confirmed sequela
T75830A,gulf war illness initial encounter
T75830D,gulf war illness subsequent encounter
T75830S,gulf war illness sequela
T75838A,effects of other war theater initial encounter
T75838D,effects of other war theater subsequent encounter
T75838S,effects of other war theater sequela
T76A1XA,adult financial abuse suspected initial encounter
T76A1XD,adult financial abuse suspected subsequent encounter
T76A1XS,adult financial abuse suspected sequela
T76A2XA,child financial abuse suspected initial encounter
T76A2XD,child financial abuse suspected subsequent encounter
T76A2XS,child financial abuse suspected sequela
T78070A,anaphylactic reaction due to milk and dairy products with tolerance to baked milk initial encounter
T78070D,anaphylactic reaction due to milk and dairy products with tolerance to baked milk subsequent encounter
T78070S,anaphylactic reaction due to milk and dairy products with tolerance to baked milk sequela
T78071A,anaphylactic reaction due to milk and dairy products with reactivity to baked milk initial encounter
T78071D,anaphylactic reaction due to milk and dairy products with reactivity to baked milk subsequent encounter
T78071S,anaphylactic reaction due to milk and dairy products with reactivity to baked milk sequela
T78079A,anaphylactic reaction due to milk and dairy products unspecified initial encounter
T78079D,anaphylactic reaction due to milk and dairy products unspecified subsequent encounter
T78079S,anaphylactic reaction due to milk and dairy products unspecified sequela
T78080A,anaphylactic reaction due to egg with tolerance to baked egg initial encounter
T78080D,anaphylactic reaction due to egg with tolerance to baked egg subsequent encounter
T78080S,anaphylactic reaction due to egg with tolerance to baked egg sequela
T78081A,anaphylactic reaction due to egg with reactivity to baked egg initial encounter
T78081D,anaphylactic reaction due to egg with reactivity to baked egg subsequent encounter
T78081S,anaphylactic reaction due to egg with reactivity to baked egg sequela
T78089A,anaphylactic reaction due to eggs unspecified initial encounter
T78089D,anaphylactic reaction due to eggs unspecified subsequent encounter
T78089S,anaphylactic reaction due to eggs unspecified sequela
T78110A,other adverse food reactions due to milk and dairy products with tolerance to baked milk initial encounter
T78110D,other adverse food reactions due to milk and dairy products with tolerance to baked milk subsequent encounter
T78110S,other adverse food reactions due to milk and dairy products with tolerance to baked milk sequela
T78111A,other adverse food reaction due to milk and dairy products with reactivity to baked milk initial encounter
T78111D,other adverse food reaction due to milk and dairy products with reactivity to baked milk subsequent encounter
T78111S,other adverse food reaction due to milk and dairy products with reactivity to baked milk sequela
T78119A,other adverse food reaction due to milk and dairy products with baked milk tolerancereactivity unspecified initial encounter
T78119D,other adverse food reaction due to milk and dairy products with baked milk tolerancereactivity unspecified subsequent encounter
T78119S,other adverse food reaction due to milk and dairy products with baked milk tolerancereactivity unspecified sequela
T78120A,other adverse food reaction due to egg with tolerance to baked egg initial encounter
T78120D,other adverse food reaction due to egg with tolerance to baked egg subsequent encounter
T78120S,other adverse food reaction due to egg with tolerance to baked egg sequela
T78121A,other adverse food reaction due to egg with reactivity to baked egg initial encounter
T78121D,other adverse food reaction due to egg with reactivity to baked egg subsequent encounter
T78121S,other adverse food reaction due to egg with reactivity to baked egg sequela
T78129A,other adverse food reaction due to egg with baked egg tolerancereactivity unspecified initial encounter
T78129D,other adverse food reaction due to egg with baked egg tolerancereactivity unspecified subsequent encounter
T78129S,other adverse food reaction due to egg with baked egg tolerancereactivity unspecified sequela
T7819XA,other adverse food reactions not elsewhere classified initial encounter
T7819XD,other adverse food reactions not elsewhere classified subsequent encounter
T7819XS,other adverse food reactions not elsewhere classified sequela
T887XXA,unspecified adverse effect of drug or medicament initial encounter
T887XXD,unspecified adverse effect of drug or medicament subsequent encounter
T887XXS,unspecified adverse effect of drug or medicament sequela
T888XXA,other specified complications of surgical and medical care not elsewhere classified initial encounter
T888XXD,other specified complications of surgical and medical care not elsewhere classified subsequent encounter
T888XXS,other specified complications of surgical and medical care not elsewhere classified sequela
T889XXA,complication of surgical and medical care unspecified initial encounter
T889XXD,complication of surgical and medical care unspecified subsequent encounter
T889XXS,complication of surgical and medical care unspecified sequela
W44H9XA,other sharp object entering into or through a natural orifice initial encounter
W44H9XD,other sharp object entering into or through a natural orifice subsequent encounter
W44H9XS,other sharp object entering into or through a natural orifice sequela
W453XXA,fishing hook entering through skin initial encounter
W453XXD,fishing hook entering through skin subsequent encounter
W453XXS,fishing hook entering through skin sequela
Y07010,husband current perpetrator of maltreatment and neglect
Y07011,husband former perpetrator of maltreatment and neglect
Y07020,wife current perpetrator of maltreatment and neglect
Y07021,wife former perpetrator of maltreatment and neglect
Y07030,male partner current perpetrator of maltreatment and neglect
Y07031,male partner former perpetrator of maltreatment and neglect
Y07040,female partner current perpetrator of maltreatment and neglect
Y07041,female partner former perpetrator of maltreatment and neglect
Y07050,nonbinary partner current perpetrator of maltreatment and neglect
Y07051,nonbinary partner former perpetrator of maltreatment and neglect
Y0744,child perpetrator of maltreatment and neglect
Y0745,grandchild perpetrator of maltreatment and neglect
Y0746,grandparent perpetrator of maltreatment and neglect
Y0747,parental sibling perpetrator of maltreatment and neglect
Y0754,acquaintance or friend perpetrator of maltreatment and neglect
Y35122A,legal intervention involving injury by explosive shell bystander injured initial encounter
Y35122D,legal intervention involving injury by explosive shell bystander injured subsequent encounter
Y35122S,legal intervention involving injury by explosive shell bystander injured sequela
Y35899A,legal intervention involving other specified means unspecified person injured initial encounter
Y35899D,legal intervention involving other specified means unspecified person injured subsequent encounter
Y35899S,legal intervention involving other specified means unspecified person injured sequela
Y36A1XA,low level blast overpressure in war operations initial encounter
Y36A1XD,low level blast overpressure in war operations subsequent encounter
Y36A1XS,low level blast overpressure in war operations sequela
Y36A2XA,high level blast overpressure in war operations initial encounter
Y36A2XD,high level blast overpressure in war operations subsequent encounter
Y36A2XS,high level blast overpressure in war operations sequela
Y37A1XA,low level blast overpressure in military operations initial encounter
Y37A1XD,low level blast overpressure in military operations subsequent encounter
Y37A1XS,low level blast overpressure in military operations sequela
Y37A2XA,high level blast overpressure in military operations initial encounter
Y37A2XD,high level blast overpressure in military operations subsequent encounter
Y37A2XS,high level blast overpressure in military operations sequela
Y92000,kitchen of unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92001,dining room of unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92002,bathroom of unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92003,bedroom of unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92007,garden or yard of unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92008,other place in unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92009,unspecified place in unspecified noninstitutional private residence as the place of occurrence of the external cause
Y92010,kitchen of singlefamily private house as the place of occurrence of the external cause
Y92011,dining room of singlefamily private house as the place of occurrence of the external cause
Y92012,bathroom of singlefamily private house as the place of occurrence of the external cause
Y92013,bedroom of singlefamily private house as the place of occurrence of the external cause
Y92014,private driveway to singlefamily private house as the place of occurrence of the external cause
Y92015,private garage of singlefamily private house as the place of occurrence of the external cause
Y92016,swimmingpool in singlefamily private house or garden as the place of occurrence of the external cause
Y92017,garden or yard in singlefamily private house as the place of occurrence of the external cause
Y92018,other place in singlefamily private house as the place of occurrence of the external cause
Y92019,unspecified place in singlefamily private house as the place of occurrence of the external cause
Y92020,kitchen in mobile home as the place of occurrence of the external cause
Y92021,dining room in mobile home as the place of occurrence of the external cause
Y92022,bathroom in mobile home as the place of occurrence of the external cause
Y92023,bedroom in mobile home as the place of occurrence of the external cause
Y92024,driveway of mobile home as the place of occurrence of the external cause
Y92025,garage of mobile home as the place of occurrence of the external cause
Y92026,swimmingpool of mobile home as the place of occurrence of the external cause
Y92027,garden or yard of mobile home as the place of occurrence of the external cause
Y92028,other place in mobile home as the place of occurrence of the external cause
Y92029,unspecified place in mobile home as the place of occurrence of the external cause
Y92030,kitchen in apartment as the place of occurrence of the external cause
Y92031,bathroom in apartment as the place of occurrence of the external cause
Y92032,bedroom in apartment as the place of occurrence of the external cause
Y92038,other place in apartment as the place of occurrence of the external cause
Y92039,unspecified place in apartment as the place of occurrence of the external cause
Y92040,kitchen in boardinghouse as the place of occurrence of the external cause
Y92041,bathroom in boardinghouse as the place of occurrence of the external cause
Y92042,bedroom in boardinghouse as the place of occurrence of the external cause
Y92043,driveway of boardinghouse as the place of occurrence of the external cause
Y92044,garage of boardinghouse as the place of occurrence of the external cause
Y92045,swimmingpool of boardinghouse as the place of occurrence of the external cause
Y92046,garden or yard of boardinghouse as the place of occurrence of the external cause
Y92048,other place in boardinghouse as the place of occurrence of the external cause
Y92049,unspecified place in boardinghouse as the place of occurrence of the external cause
Y92090,kitchen in other noninstitutional residence as the place of occurrence of the external cause
Y92091,bathroom in other noninstitutional residence as the place of occurrence of the external cause
Y92092,bedroom in other noninstitutional residence as the place of occurrence of the external cause
Y92093,driveway of other noninstitutional residence as the place of occurrence of the external cause
Y92094,garage of other noninstitutional residence as the place of occurrence of the external cause
Y92095,swimmingpool of other noninstitutional residence as the place of occurrence of the external cause
Y92096,garden or yard of other noninstitutional residence as the place of occurrence of the external cause
Y92098,other place in other noninstitutional residence as the place of occurrence of the external cause
Y92099,unspecified place in other noninstitutional residence as the place of occurrence of the external cause
Y9210,unspecified residential institution as the place of occurrence of the external cause
Y92110,kitchen in childrens home and orphanage as the place of occurrence of the external cause
Y92111,bathroom in childrens home and orphanage as the place of occurrence of the external cause
Y92112,bedroom in childrens home and orphanage as the place of occurrence of the external cause
Y92113,driveway of childrens home and orphanage as the place of occurrence of the external cause
Y92114,garage of childrens home and orphanage as the place of occurrence of the external cause
Y92115,swimmingpool of childrens home and orphanage as the place of occurrence of the external cause
Y92116,garden or yard of childrens home and orphanage as the place of occurrence of the external cause
Y92118,other place in childrens home and orphanage as the place of occurrence of the external cause
Y92119,unspecified place in childrens home and orphanage as the place of occurrence of the external cause
Y92120,kitchen in nursing home as the place of occurrence of the external cause
Y92121,bathroom in nursing home as the place of occurrence of the external cause
Y92122,bedroom in nursing home as the place of occurrence of the external cause
Y92123,driveway of nursing home as the place of occurrence of the external cause
Y92124,garage of nursing home as the place of occurrence of the external cause
Y92125,swimmingpool of nursing home as the place of occurrence of the external cause
Y92126,garden or yard of nursing home as the place of occurrence of the external cause
Y92128,other place in nursing home as the place of occurrence of the external cause
Y92129,unspecified place in nursing home as the place of occurrence of the external cause
Y92130,kitchen on military base as the place of occurrence of the external cause
Y92131,mess hall on military base as the place of occurrence of the external cause
Y92133,barracks on military base as the place of occurrence of the external cause
Y92135,garage on military base as the place of occurrence of the external cause
Y92136,swimmingpool on military base as the place of occurrence of the external cause
Y92137,garden or yard on military base as the place of occurrence of the external cause
Y92138,other place on military base as the place of occurrence of the external cause
Y92139,unspecified place military base as the place of occurrence of the external cause
Y92140,kitchen in prison as the place of occurrence of the external cause
Y92141,dining room in prison as the place of occurrence of the external cause
Y92142,bathroom in prison as the place of occurrence of the external cause
Y92143,cell of prison as the place of occurrence of the external cause
Y92146,swimmingpool of prison as the place of occurrence of the external cause
Y92147,courtyard of prison as the place of occurrence of the external cause
Y92148,other place in prison as the place of occurrence of the external cause
Y92149,unspecified place in prison as the place of occurrence of the external cause
Y92150,kitchen in reform school as the place of occurrence of the external cause
Y92151,dining room in reform school as the place of occurrence of the external cause
Y92152,bathroom in reform school as the place of occurrence of the external cause
Y92153,bedroom in reform school as the place of occurrence of the external cause
Y92154,driveway of reform school as the place of occurrence of the external cause
Y92155,garage of reform school as the place of occurrence of the external cause
Y92156,swimmingpool of reform school as the place of occurrence of the external cause
Y92157,garden or yard of reform school as the place of occurrence of the external cause
Y92158,other place in reform school as the place of occurrence of the external cause
Y92159,unspecified place in reform school as the place of occurrence of the external cause
Y92160,kitchen in school dormitory as the place of occurrence of the external cause
Y92161,dining room in school dormitory as the place of occurrence of the external cause
Y92162,bathroom in school dormitory as the place of occurrence of the external cause
Y92163,bedroom in school dormitory as the place of occurrence of the external cause
Y92168,other place in school dormitory as the place of occurrence of the external cause
Y92169,unspecified place in school dormitory as the place of occurrence of the external cause
Y92190,kitchen in other specified residential institution as the place of occurrence of the external cause
Y92191,dining room in other specified residential institution as the place of occurrence of the external cause
Y92192,bathroom in other specified residential institution as the place of occurrence of the external cause
Y92193,bedroom in other specified residential institution as the place of occurrence of the external cause
Y92194,driveway of other specified residential institution as the place of occurrence of the external cause
Y92195,garage of other specified residential institution as the place of occurrence of the external cause
Y92196,pool of other specified residential institution as the place of occurrence of the external cause
Y92197,garden or yard of other specified residential institution as the place of occurrence of the external cause
Y92198,other place in other specified residential institution as the place of occurrence of the external cause
Y92199,unspecified place in other specified residential institution as the place of occurrence of the external cause
Y92210,daycare center as the place of occurrence of the external cause
Y92211,elementary school as the place of occurrence of the external cause
Y92212,middle school as the place of occurrence of the external cause
Y92213,high school as the place of occurrence of the external cause
Y92214,college as the place of occurrence of the external cause
Y92215,trade school as the place of occurrence of the external cause
Y92218,other school as the place of occurrence of the external cause
Y92219,unspecified school as the place of occurrence of the external cause
Y9222,religious institution as the place of occurrence of the external cause
Y92230,patient room in hospital as the place of occurrence of the external cause
Y92231,patient bathroom in hospital as the place of occurrence of the external cause
Y92232,corridor of hospital as the place of occurrence of the external cause
Y92233,cafeteria of hospital as the place of occurrence of the external cause
Y92234,operating room of hospital as the place of occurrence of the external cause
Y92238,other place in hospital as the place of occurrence of the external cause
Y92239,unspecified place in hospital as the place of occurrence of the external cause
Y92240,courthouse as the place of occurrence of the external cause
Y92241,library as the place of occurrence of the external cause
Y92242,post office as the place of occurrence of the external cause
Y92243,city hall as the place of occurrence of the external cause
Y92248,other public administrative building as the place of occurrence of the external cause
Y92250,art gallery as the place of occurrence of the external cause
Y92251,museum as the place of occurrence of the external cause
Y92252,music hall as the place of occurrence of the external cause
Y92253,opera house as the place of occurrence of the external cause
Y92254,theater live as the place of occurrence of the external cause
Y92258,other cultural public building as the place of occurrence of the external cause
Y9226,movie house or cinema as the place of occurrence of the external cause
Y9229,other specified public building as the place of occurrence of the external cause
Y92310,basketball court as the place of occurrence of the external cause
Y92311,squash court as the place of occurrence of the external cause
Y92312,tennis court as the place of occurrence of the external cause
Y92318,other athletic court as the place of occurrence of the external cause
Y92320,baseball field as the place of occurrence of the external cause
Y92321,football field as the place of occurrence of the external cause
Y92322,soccer field as the place of occurrence of the external cause
Y92328,other athletic field as the place of occurrence of the external cause
Y92330,ice skating rink indoor outdoor as the place of occurrence of the external cause
Y92331,roller skating rink as the place of occurrence of the external cause
Y9234,swimming pool public as the place of occurrence of the external cause
Y9239,other specified sports and athletic area as the place of occurrence of the external cause
Y92410,unspecified street and highway as the place of occurrence of the external cause
Y92411,interstate highway as the place of occurrence of the external cause
Y92412,parkway as the place of occurrence of the external cause
Y92413,state road as the place of occurrence of the external cause
Y92414,local residential or business street as the place of occurrence of the external cause
Y92415,exit ramp or entrance ramp of street or highway as the place of occurrence of the external cause
Y92480,sidewalk as the place of occurrence of the external cause
Y92481,parking lot as the place of occurrence of the external cause
Y92482,bike path as the place of occurrence of the external cause
Y92488,other paved roadways as the place of occurrence of the external cause
Y92510,bank as the place of occurrence of the external cause
Y92511,restaurant or cafe as the place of occurrence of the external cause
Y92512,supermarket store or market as the place of occurrence of the external cause
Y92513,shop commercial as the place of occurrence of the external cause
Y92520,airport as the place of occurrence of the external cause
Y92521,bus station as the place of occurrence of the external cause
Y92522,railway station as the place of occurrence of the external cause
Y92523,highway rest stop as the place of occurrence of the external cause
Y92524,gas station as the place of occurrence of the external cause
Y92530,ambulatory surgery center as the place of occurrence of the external cause
Y92531,health care provider office as the place of occurrence of the external cause
Y92532,urgent care center as the place of occurrence of the external cause
Y92538,other ambulatory health services establishments as the place of occurrence of the external cause
Y9259,other trade areas as the place of occurrence of the external cause
Y9261,building any under construction as the place of occurrence of the external cause
Y9262,dock or shipyard as the place of occurrence of the external cause
Y9263,factory as the place of occurrence of the external cause
Y9264,mine or pit as the place of occurrence of the external cause
Y9265,oil rig as the place of occurrence of the external cause
Y9269,other specified industrial and construction area as the place of occurrence of the external cause
Y9271,barn as the place of occurrence of the external cause
Y9272,chicken coop as the place of occurrence of the external cause
Y9273,farm field as the place of occurrence of the external cause
Y9274,orchard as the place of occurrence of the external cause
Y9279,other farm location as the place of occurrence of the external cause
Y92810,car as the place of occurrence of the external cause
Y92811,bus as the place of occurrence of the external cause
Y92812,truck as the place of occurrence of the external cause
Y92813,airplane as the place of occurrence of the external cause
Y92814,boat as the place of occurrence of the external cause
Y92815,train as the place of occurrence of the external cause
Y92816,subway car as the place of occurrence of the external cause
Y92818,other transport vehicle as the place of occurrence of the external cause
Y92820,desert as the place of occurrence of the external cause
Y92821,forest as the place of occurrence of the external cause
Y92828,other wilderness area as the place of occurrence of the external cause
Y92830,public park as the place of occurrence of the external cause
Y92831,amusement park as the place of occurrence of the external cause
Y92832,beach as the place of occurrence of the external cause
Y92833,campsite as the place of occurrence of the external cause
Y92834,zoological garden zoo as the place of occurrence of the external cause
Y92838,other recreation area as the place of occurrence of the external cause
Y9284,military training ground as the place of occurrence of the external cause
Y9285,railroad track as the place of occurrence of the external cause
Y9286,slaughter house as the place of occurrence of the external cause
Y9289,other specified places as the place of occurrence of the external cause
Y929,unspecified place or not applicable
Y93L1,activity splitting wood
Y93L9,activity other outdoor activity
Z0000,encounter for general adult medical examination without abnormal findings
Z0001,encounter for general adult medical examination with abnormal findings
Z00110,health examination for newborn under 8 days old
Z00111,health examination for newborn 8 to 28 days old
Z00121,encounter for routine child health examination with abnormal findings
Z00129,encounter for routine child health examination without abnormal findings
Z002,encounter for examination for period of rapid growth in childhood
Z003,encounter for examination for adolescent development state
Z005,encounter for examination of potential donor of organ and tissue
Z006,encounter for examination for normal comparison and control in clinical research program
Z0070,encounter for examination for period of delayed growth in childhood without abnormal findings
Z0071,encounter for examination for period of delayed growth in childhood with abnormal findings
Z008,encounter for other general examination
Z0100,encounter for examination of eyes and vision without abnormal findings
Z0101,encounter for examination of eyes and vision with abnormal findings
Z01020,encounter for examination of eyes and vision following failed vision screening without abnormal findings
Z01021,encounter for examination of eyes and vision following failed vision screening with abnormal findings
Z0110,encounter for examination of ears and hearing without abnormal findings
Z01110,encounter for hearing examination following failed hearing screening
Z01118,encounter for examination of ears and hearing with other abnormal findings
Z0112,encounter for hearing conservation and treatment
Z0120,encounter for dental examination and cleaning without abnormal findings
Z0121,encounter for dental examination and cleaning with abnormal findings
Z0130,encounter for examination of blood pressure without abnormal findings
Z0131,encounter for examination of blood pressure with abnormal findings
Z01411,encounter for gynecological examination general routine with abnormal findings
Z01419,encounter for gynecological examination general routine without abnormal findings
Z0142,encounter for cervical smear to confirm findings of recent normal smear following initial abnormal smear
Z01810,encounter for preprocedural cardiovascular examination
Z01811,encounter for preprocedural respiratory examination
Z01812,encounter for preprocedural laboratory examination
Z01818,encounter for other preprocedural examination
Z0182,encounter for allergy testing
Z0183,encounter for blood typing
Z0184,encounter for antibody response examination
Z0189,encounter for other specified special examinations
Z020,encounter for examination for admission to educational institution
Z021,encounter for preemployment examination
Z022,encounter for examination for admission to residential institution
Z023,encounter for examination for recruitment to armed forces
Z024,encounter for examination for driving license
Z025,encounter for examination for participation in sport
Z026,encounter for examination for insurance purposes
Z0271,encounter for disability determination
Z0279,encounter for issue of other medical certificate
Z0281,encounter for paternity testing
Z0282,encounter for adoption services
Z0283,encounter for bloodalcohol and blooddrug test
Z0284,encounter for child welfare exam
Z0289,encounter for other administrative examinations
Z029,encounter for administrative examinations unspecified
Z036,encounter for observation for suspected toxic effect from ingested substance ruled out
Z0371,encounter for suspected problem with amniotic cavity and membrane ruled out
Z0372,encounter for suspected placental problem ruled out
Z0373,encounter for suspected fetal anomaly ruled out
Z0374,encounter for suspected problem with fetal growth ruled out
Z0375,encounter for suspected cervical shortening ruled out
Z0379,encounter for other suspected maternal and fetal conditions ruled out
Z03810,encounter for observation for suspected exposure to anthrax ruled out
Z03818,encounter for observation for suspected exposure to other biological agents ruled out
Z03821,encounter for observation for suspected ingested foreign body ruled out
Z03822,encounter for observation for suspected aspirated inhaled foreign body ruled out
Z03823,encounter for observation for suspected inserted injected foreign body ruled out
Z0383,encounter for observation for suspected conditions related to home physiologic monitoring device ruled out
Z0389,encounter for observation for other suspected diseases and conditions ruled out
Z041,encounter for examination and observation following transport accident
Z042,encounter for examination and observation following work accident
Z043,encounter for examination and observation following other accident
Z0441,encounter for examination and observation following alleged adult rape
Z0442,encounter for examination and observation following alleged child rape
Z046,encounter for general psychiatric examination requested by authority
Z0471,encounter for examination and observation following alleged adult physical abuse
Z0472,encounter for examination and observation following alleged child physical abuse
Z0481,encounter for examination and observation of victim following forced sexual exploitation
Z0482,encounter for examination and observation of victim following forced labor exploitation
Z0489,encounter for examination and observation for other specified reasons
Z049,encounter for examination and observation for unspecified reason
Z050,observation and evaluation of newborn for suspected cardiac condition ruled out
Z051,observation and evaluation of newborn for suspected infectious condition ruled out
Z052,observation and evaluation of newborn for suspected neurological condition ruled out
Z053,observation and evaluation of newborn for suspected respiratory condition ruled out
Z0541,observation and evaluation of newborn for suspected genetic condition ruled out
Z0542,observation and evaluation of newborn for suspected metabolic condition ruled out
Z0543,observation and evaluation of newborn for suspected immunologic condition ruled out
Z055,observation and evaluation of newborn for suspected gastrointestinal condition ruled out
Z056,observation and evaluation of newborn for suspected genitourinary condition ruled out
Z0571,observation and evaluation of newborn for suspected skin and subcutaneous tissue condition ruled out
Z0572,observation and evaluation of newborn for suspected musculoskeletal condition ruled out
Z0573,observation and evaluation of newborn for suspected connective tissue condition ruled out
Z0581,observation and evaluation of newborn for suspected condition related to home physiologic monitoring device ruled out
Z0589,observation and evaluation of newborn for other specified suspected condition ruled out
Z059,observation and evaluation of newborn for unspecified suspected condition ruled out
Z08,encounter for followup examination after completed treatment for malignant neoplasm
Z09,encounter for followup examination after completed treatment for conditions other than malignant neoplasm
Z110,encounter for screening for intestinal infectious diseases
Z111,encounter for screening for respiratory tuberculosis
Z112,encounter for screening for other bacterial diseases
Z113,encounter for screening for infections with a predominantly sexual mode of transmission
Z114,encounter for screening for human immunodeficiency virus hiv
Z1151,encounter for screening for human papillomavirus hpv
Z1152,encounter for screening for covid19
Z1159,encounter for screening for other viral diseases
Z116,encounter for screening for other protozoal diseases and helminthiases
Z117,encounter for testing for latent tuberculosis infection
Z118,encounter for screening for other infectious and parasitic diseases
Z119,encounter for screening for infectious and parasitic diseases unspecified
Z120,encounter for screening for malignant neoplasm of stomach
Z1210,encounter for screening for malignant neoplasm of intestinal tract unspecified
Z1211,encounter for screening for malignant neoplasm of colon
Z1212,encounter for screening for malignant neoplasm of rectum
Z1213,encounter for screening for malignant neoplasm of small intestine
Z122,encounter for screening for malignant neoplasm of respiratory organs
Z1231,encounter for screening mammogram for malignant neoplasm of breast
Z1239,encounter for other screening for malignant neoplasm of breast
Z124,encounter for screening for malignant neoplasm of cervix
Z125,encounter for screening for malignant neoplasm of prostate
Z126,encounter for screening for malignant neoplasm of bladder
Z1271,encounter for screening for malignant neoplasm of testis
Z1272,encounter for screening for malignant neoplasm of vagina
Z1273,encounter for screening for malignant neoplasm of ovary
Z1279,encounter for screening for malignant neoplasm of other genitourinary organs
Z1281,encounter for screening for malignant neoplasm of oral cavity
Z1282,encounter for screening for malignant neoplasm of nervous system
Z1283,encounter for screening for malignant neoplasm of skin
Z1289,encounter for screening for malignant neoplasm of other sites
Z129,encounter for screening for malignant neoplasm site unspecified
Z130,encounter for screening for diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism
Z131,encounter for screening for diabetes mellitus
Z1321,encounter for screening for nutritional disorder
Z13220,encounter for screening for lipoid disorders
Z13228,encounter for screening for other metabolic disorders
Z1329,encounter for screening for other suspected endocrine disorder
Z1330,encounter for screening examination for mental health and behavioral disorders unspecified
Z1331,encounter for screening for depression
Z1332,encounter for screening for maternal depression
Z1339,encounter for screening examination for other mental health and behavioral disorders
Z1340,encounter for screening for unspecified developmental delays
Z1341,encounter for autism screening
Z1342,encounter for screening for global developmental delays milestones
Z1349,encounter for screening for other developmental delays
