code,description
L98449,nonpressure chronic ulcer of chest with unspecified severity
L98451,nonpressure chronic ulcer of neck limited to breakdown of skin
L98452,nonpressure chronic ulcer of neck with fat layer exposed
L98453,nonpressure chronic ulcer of neck with necrosis of muscle
L98454,nonpressure chronic ulcer of neck with necrosis of bone
L98455,nonpressure chronic ulcer of neck with muscle involvement without evidence of necrosis
L98456,nonpressure chronic ulcer of neck with bone involvement without evidence of necrosis
L98458,nonpressure chronic ulcer of neck with other specified severity
L98459,nonpressure chronic ulcer of neck with unspecified severity
L98461,nonpressure chronic ulcer of face limited to breakdown of skin
L98462,nonpressure chronic ulcer of face with fat layer exposed
L98463,nonpressure chronic ulcer of face with necrosis of muscle
L98464,nonpressure chronic ulcer of face with necrosis of bone
L98465,nonpressure chronic ulcer of face with muscle involvement without evidence of necrosis
L98466,nonpressure chronic ulcer of face with bone involvement without evidence of necrosis
L98468,nonpressure chronic ulcer of face with other specified severity
L98469,nonpressure chronic ulcer of face with unspecified severity
L98471,nonpressure chronic ulcer of groin limited to breakdown of skin
L98472,nonpressure chronic ulcer of groin with fat layer exposed
L98473,nonpressure chronic ulcer of groin with necrosis of muscle
L98474,nonpressure chronic ulcer of groin with necrosis of bone
L98475,nonpressure chronic ulcer of groin with muscle involvement without evidence of necrosis
L98476,nonpressure chronic ulcer of groin with bone involvement without evidence of necrosis
L98478,nonpressure chronic ulcer of groin with other specified severity
L98479,nonpressure chronic ulcer of groin with unspecified severity
L98A111,nonpressure chronic ulcer of right upper arm limited to breakdown of skin
L98A112,nonpressure chronic ulcer of right upper arm with fat layer exposed
L98A113,nonpressure chronic ulcer of right upper arm with necrosis of muscle
L98A114,nonpressure chronic ulcer of right upper arm with necrosis of bone
L98A115,nonpressure chronic ulcer of right upper arm with muscle involvement without evidence of necrosis
L98A116,nonpressure chronic ulcer of right upper arm with bone involvement without evidence of necrosis
L98A118,nonpressure chronic ulcer of right upper arm with other specified severity
L98A119,nonpressure chronic ulcer of right upper arm with unspecified severity
L98A121,nonpressure chronic ulcer of left upper arm limited to breakdown of skin
L98A122,nonpressure chronic ulcer of left upper arm with fat layer exposed
L98A123,nonpressure chronic ulcer of left upper arm with necrosis of muscle
L98A124,nonpressure chronic ulcer of left upper arm with necrosis of bone
L98A125,nonpressure chronic ulcer of left upper arm with muscle involvement without evidence of necrosis
L98A126,nonpressure chronic ulcer of left upper arm with bone involvement without evidence of necrosis
L98A128,nonpressure chronic ulcer of left upper arm with other specified severity
L98A129,nonpressure chronic ulcer of left upper arm with unspecified severity
L98A191,nonpressure chronic ulcer of unspecified upper arm limited to breakdown of skin
L98A192,nonpressure chronic ulcer of unspecified upper arm with fat layer exposed
L98A193,nonpressure chronic ulcer of unspecified upper arm with necrosis of muscle
L98A194,nonpressure chronic ulcer of unspecified upper arm with necrosis of bone
L98A195,nonpressure chronic ulcer of unspecified upper arm with muscle involvement without evidence of necrosis
L98A196,nonpressure chronic ulcer of unspecified upper arm with bone involvement without evidence of necrosis
L98A198,nonpressure chronic ulcer of unspecified upper arm with other specified severity
L98A199,nonpressure chronic ulcer of unspecified upper arm with unspecified severity
L98A211,nonpressure chronic ulcer of right forearm limited to breakdown of skin
L98A212,nonpressure chronic ulcer of right forearm with fat layer exposed
L98A213,nonpressure chronic ulcer of right forearm with necrosis of muscle
L98A214,nonpressure chronic ulcer of right forearm with necrosis of bone
L98A215,nonpressure chronic ulcer of right forearm with muscle involvement without evidence of necrosis
L98A216,nonpressure chronic ulcer of right forearm with bone involvement without evidence of necrosis
L98A218,nonpressure chronic ulcer of right forearm with other specified severity
L98A219,nonpressure chronic ulcer of right forearm with unspecified severity
L98A221,nonpressure chronic ulcer of left forearm limited to breakdown of skin
L98A222,nonpressure chronic ulcer of left forearm with fat layer exposed
L98A223,nonpressure chronic ulcer of left forearm with necrosis of muscle
L98A224,nonpressure chronic ulcer of left forearm with necrosis of bone
L98A225,nonpressure chronic ulcer of left forearm with muscle involvement without evidence of necrosis
L98A226,nonpressure chronic ulcer of left forearm with bone involvement without evidence of necrosis
L98A228,nonpressure chronic ulcer of left forearm with other specified severity
L98A229,nonpressure chronic ulcer of left forearm with unspecified severity
L98A291,nonpressure chronic ulcer of unspecified forearm limited to breakdown of skin
L98A292,nonpressure chronic ulcer of unspecified forearm with fat layer exposed
L98A293,nonpressure chronic ulcer of unspecified forearm with necrosis of muscle
L98A294,nonpressure chronic ulcer of unspecified forearm with necrosis of bone
L98A295,nonpressure chronic ulcer of unspecified forearm with muscle involvement without evidence of necrosis
L98A296,nonpressure chronic ulcer of unspecified forearm with bone involvement without evidence of necrosis
L98A298,nonpressure chronic ulcer of unspecified forearm with other specified severity
L98A299,nonpressure chronic ulcer of unspecified forearm with unspecified severity
L98A311,nonpressure chronic ulcer of right hand limited to breakdown of skin
L98A312,nonpressure chronic ulcer of right hand with fat layer exposed
L98A313,nonpressure chronic ulcer of right hand with necrosis of muscle
L98A314,nonpressure chronic ulcer of right hand with necrosis of bone
L98A315,nonpressure chronic ulcer of right hand with muscle involvement without evidence of necrosis
L98A316,nonpressure chronic ulcer of right hand with bone involvement without evidence of necrosis
L98A318,nonpressure chronic ulcer of right hand with other specified severity
L98A319,nonpressure chronic ulcer of right hand with unspecified severity
L98A321,nonpressure chronic ulcer of left hand limited to breakdown of skin
L98A322,nonpressure chronic ulcer of left hand with fat layer exposed
L98A323,nonpressure chronic ulcer of left hand with necrosis of muscle
L98A324,nonpressure chronic ulcer of left hand with necrosis of bone
L98A325,nonpressure chronic ulcer of left hand with muscle involvement without evidence of necrosis
L98A326,nonpressure chronic ulcer of left hand with bone involvement without evidence of necrosis
L98A328,nonpressure chronic ulcer of left hand with other specified severity
L98A329,nonpressure chronic ulcer of left hand with unspecified severity
L98A391,nonpressure chronic ulcer of unspecified hand limited to breakdown of skin
L98A392,nonpressure chronic ulcer of unspecified hand with fat layer exposed
L98A393,nonpressure chronic ulcer of unspecified hand with necrosis of muscle
L98A394,nonpressure chronic ulcer of unspecified hand with necrosis of bone
L98A395,nonpressure chronic ulcer of unspecified hand with muscle involvement without evidence of necrosis
L98A396,nonpressure chronic ulcer of unspecified hand with bone involvement without evidence of necrosis
L98A398,nonpressure chronic ulcer of unspecified hand with other specified severity
L98A399,nonpressure chronic ulcer of unspecified hand with unspecified severity
M05A,abnormal rheumatoid factor and anticitrullinated protein antibody with rheumatoid arthritis
M3581,multisystem inflammatory syndrome
M3589,other specified systemic involvement of connective tissue
N00B1,acute nephritic syndrome with idiopathic immune membranoproliferative glomerulonephritis icmpgn
N00B2,acute nephritic syndrome with secondary immune complex membranoproliferative glomerulonephritis icmpgn
N04B1,nephrotic syndrome with idiopathic immune complex membranoproliferative glomerulonephritis icmpgn
N04B2,nephrotic syndrome with secondary immune complex membranoproliferative glomerulonephritis icmpgn
N07B,hereditary nephropathy not elsewhere classified with apol1mediated kidney disease amkd
Q6600,congenital talipes equinovarus unspecified foot
Q6601,congenital talipes equinovarus right foot
Q6602,congenital talipes equinovarus left foot
Q6610,congenital talipes calcaneovarus unspecified foot
Q6611,congenital talipes calcaneovarus right foot
Q6612,congenital talipes calcaneovarus left foot
Q66211,congenital metatarsus primus varus right foot
Q66212,congenital metatarsus primus varus left foot
Q66219,congenital metatarsus primus varus unspecified foot
Q66221,congenital metatarsus adductus right foot
Q66222,congenital metatarsus adductus left foot
Q66229,congenital metatarsus adductus unspecified foot
Q6630,other congenital varus deformities of feet unspecified foot
Q6631,other congenital varus deformities of feet right foot
Q6632,other congenital varus deformities of feet left foot
Q6640,congenital talipes calcaneovalgus unspecified foot
Q6641,congenital talipes calcaneovalgus right foot
Q6642,congenital talipes calcaneovalgus left foot
Q6650,congenital pes planus unspecified foot
Q6651,congenital pes planus right foot
Q6652,congenital pes planus left foot
Q666,other congenital valgus deformities of feet
Q6670,congenital pes cavus unspecified foot
Q6671,congenital pes cavus right foot
Q6672,congenital pes cavus left foot
Q6680,congenital vertical talus deformity unspecified foot
Q6681,congenital vertical talus deformity right foot
Q6682,congenital vertical talus deformity left foot
Q6689,other specified congenital deformities of feet
Q6690,congenital deformity of feet unspecified unspecified foot
Q6691,congenital deformity of feet unspecified right foot
Q6692,congenital deformity of feet unspecified left foot
Q7960,ehlersdanlos syndrome unspecified
Q7961,classical ehlersdanlos syndrome
Q7962,hypermobile ehlersdanlos syndrome
Q7963,vascular ehlersdanlos syndrome
Q7969,other ehlersdanlos syndromes
Q8711,praderwilli syndrome
Q8719,other congenital malformation syndromes predominantly associated with short stature
Q8787,haofountain syndrome
Q8788,ctnnb1 syndrome
Q8981,kabuki syndrome
Q8989,other specified congenital malformations
Q99811,usher syndrome type 1
Q99812,usher syndrome type 2
Q99813,usher syndrome type 3
Q99818,other usher syndrome
Q99819,usher syndrome unspecified
Q9989,other specified chromosome abnormalities
