code,description
A362,laryngeal diphtheria
A363,cutaneous diphtheria
A3681,diphtheritic cardiomyopathy
A3682,diphtheritic radiculomyelitis
A3683,diphtheritic polyneuritis
A3684,diphtheritic tubulointerstitial nephropathy
A3685,diphtheritic cystitis
A3686,diphtheritic conjunctivitis
A3689,other diphtheritic complications
A369,diphtheria unspecified
A3700,whooping cough due to bordetella pertussis without pneumonia
A3701,whooping cough due to bordetella pertussis with pneumonia
A3710,whooping cough due to bordetella parapertussis without pneumonia
A3711,whooping cough due to bordetella parapertussis with pneumonia
A3780,whooping cough due to other bordetella species without pneumonia
A3781,whooping cough due to other bordetella species with pneumonia
A3790,whooping cough unspecified species without pneumonia
A3791,whooping cough unspecified species with pneumonia
A380,scarlet fever with otitis media
A381,scarlet fever with myocarditis
A388,scarlet fever with other complications
A389,scarlet fever uncomplicated
A390,meningococcal meningitis
A391,waterhousefriderichsen syndrome
A392,acute meningococcemia
A393,chronic meningococcemia
A394,meningococcemia unspecified
A3950,meningococcal carditis unspecified
A3951,meningococcal endocarditis
A3952,meningococcal myocarditis
A3953,meningococcal pericarditis
A3981,meningococcal encephalitis
A3982,meningococcal retrobulbar neuritis
A3983,meningococcal arthritis
A3984,postmeningococcal arthritis
A3989,other meningococcal infections
A399,meningococcal infection unspecified
A400,sepsis due to streptococcus group a
A401,sepsis due to streptococcus group b
A403,sepsis due to streptococcus pneumoniae
A408,other streptococcal sepsis
A409,streptococcal sepsis unspecified
A4101,sepsis due to methicillin susceptible staphylococcus aureus
A4102,sepsis due to methicillin resistant staphylococcus aureus
A411,sepsis due to other specified staphylococcus
A412,sepsis due to unspecified staphylococcus
A413,sepsis due to hemophilus influenzae
A414,sepsis due to anaerobes
A4150,gramnegative sepsis unspecified
A4151,sepsis due to escherichia coli e coli
A4152,sepsis due to pseudomonas
A4153,sepsis due to serratia
A4154,sepsis due to acinetobacter baumannii
A4159,other gramnegative sepsis
A4181,sepsis due to enterococcus
A4189,other specified sepsis
A419,sepsis unspecified organism
A420,pulmonary actinomycosis
A421,abdominal actinomycosis
A422,cervicofacial actinomycosis
A427,actinomycotic sepsis
A4281,actinomycotic meningitis
A4282,actinomycotic encephalitis
A4289,other forms of actinomycosis
A429,actinomycosis unspecified
A430,pulmonary nocardiosis
A431,cutaneous nocardiosis
A438,other forms of nocardiosis
A439,nocardiosis unspecified
A440,systemic bartonellosis
A441,cutaneous and mucocutaneous bartonellosis
A448,other forms of bartonellosis
A449,bartonellosis unspecified
A46,erysipelas
A480,gas gangrene
A481,legionnaires disease
A482,nonpneumonic legionnaires disease pontiac fever
A483,toxic shock syndrome
A484,brazilian purpuric fever
A4851,infant botulism
A4852,wound botulism
A488,other specified bacterial diseases
A4901,methicillin susceptible staphylococcus aureus infection unspecified site
A4902,methicillin resistant staphylococcus aureus infection unspecified site
A491,streptococcal infection unspecified site
A492,hemophilus influenzae infection unspecified site
A493,mycoplasma infection unspecified site
A498,other bacterial infections of unspecified site
A499,bacterial infection unspecified
A5001,early congenital syphilitic oculopathy
A5002,early congenital syphilitic osteochondropathy
A5003,early congenital syphilitic pharyngitis
A5004,early congenital syphilitic pneumonia
A5005,early congenital syphilitic rhinitis
A5006,early cutaneous congenital syphilis
A5007,early mucocutaneous congenital syphilis
A5008,early visceral congenital syphilis
A5009,other early congenital syphilis symptomatic
A501,early congenital syphilis latent
A502,early congenital syphilis unspecified
A5030,late congenital syphilitic oculopathy unspecified
A5031,late congenital syphilitic interstitial keratitis
A5032,late congenital syphilitic chorioretinitis
A5039,other late congenital syphilitic oculopathy
A5040,late congenital neurosyphilis unspecified
A5041,late congenital syphilitic meningitis
A5042,late congenital syphilitic encephalitis
A5043,late congenital syphilitic polyneuropathy
A5044,late congenital syphilitic optic nerve atrophy
A5045,juvenile general paresis
A5049,other late congenital neurosyphilis
A5051,cluttons joints
A5052,hutchinsons teeth
A5053,hutchinsons triad
A5054,late congenital cardiovascular syphilis
A5055,late congenital syphilitic arthropathy
A5056,late congenital syphilitic osteochondropathy
A5057,syphilitic saddle nose
A5059,other late congenital syphilis symptomatic
A506,late congenital syphilis latent
A507,late congenital syphilis unspecified
A509,congenital syphilis unspecified
A510,primary genital syphilis
A511,primary anal syphilis
A512,primary syphilis of other sites
A5131,condyloma latum
A5132,syphilitic alopecia
A5139,other secondary syphilis of skin
A5141,secondary syphilitic meningitis
A5142,secondary syphilitic female pelvic disease
A5143,secondary syphilitic oculopathy
A5144,secondary syphilitic nephritis
A5145,secondary syphilitic hepatitis
A5146,secondary syphilitic osteopathy
A5149,other secondary syphilitic conditions
A515,early syphilis latent
A519,early syphilis unspecified
A5200,cardiovascular syphilis unspecified
A5201,syphilitic aneurysm of aorta
A5202,syphilitic aortitis
A5203,syphilitic endocarditis
A5204,syphilitic cerebral arteritis
A5205,other cerebrovascular syphilis
A5206,other syphilitic heart involvement
A5209,other cardiovascular syphilis
A5210,symptomatic neurosyphilis unspecified
A5211,tabes dorsalis
A5212,other cerebrospinal syphilis
A5213,late syphilitic meningitis
A5214,late syphilitic encephalitis
A5215,late syphilitic neuropathy
A5216,charcots arthropathy tabetic
A5217,general paresis
A5219,other symptomatic neurosyphilis
A522,asymptomatic neurosyphilis
A523,neurosyphilis unspecified
A5271,late syphilitic oculopathy
A5272,syphilis of lung and bronchus
A5273,symptomatic late syphilis of other respiratory organs
A5274,syphilis of liver and other viscera
A5275,syphilis of kidney and ureter
A5276,other genitourinary symptomatic late syphilis
A5277,syphilis of bone and joint
A5278,syphilis of other musculoskeletal tissue
A5279,other symptomatic late syphilis
A528,late syphilis latent
A529,late syphilis unspecified
A530,latent syphilis unspecified as early or late
A539,syphilis unspecified
A5400,gonococcal infection of lower genitourinary tract unspecified
A5401,gonococcal cystitis and urethritis unspecified
A5402,gonococcal vulvovaginitis unspecified
A5403,gonococcal cervicitis unspecified
A5409,other gonococcal infection of lower genitourinary tract
